source,source_record_id,event_category,event_date,is_terminal,is_high_reliability,payload
BBMP,BBMP/560058/0001,LICENCE_RENEWAL,2026-02-09,False,False,"{""fee_paid"": 4765.0}"
ESCOM,ESCOM/560100/000002,ELECTRICITY_READING,2025-05-03,False,True,"{""consumption_kwh"": 68862.9}"
ESCOM,ESCOM/560100/000002,ELECTRICITY_READING,2025-06-02,False,True,"{""consumption_kwh"": 82067.8}"
ESCOM,ESCOM/560100/000002,ELECTRICITY_READING,2025-07-02,False,True,"{""consumption_kwh"": 80947.5}"
ESCOM,ESCOM/560100/000002,ELECTRICITY_READING,2025-08-01,False,True,"{""consumption_kwh"": 87337.9}"
ESCOM,ESCOM/560100/000002,ELECTRICITY_READING,2025-08-31,False,True,"{""consumption_kwh"": 72504.3}"
ESCOM,ESCOM/560100/000002,ELECTRICITY_READING,2025-09-30,False,True,"{""consumption_kwh"": 72164.3}"
ESCOM,ESCOM/560100/000002,ELECTRICITY_READING,2025-10-30,False,True,"{""consumption_kwh"": 82765.4}"
ESCOM,ESCOM/560100/000002,ELECTRICITY_READING,2025-11-29,False,True,"{""consumption_kwh"": 81089.5}"
ESCOM,ESCOM/560100/000002,ELECTRICITY_READING,2025-12-29,False,True,"{""consumption_kwh"": 73210.7}"
ESCOM,ESCOM/560100/000002,ELECTRICITY_READING,2026-01-28,False,True,"{""consumption_kwh"": 81661.0}"
ESCOM,ESCOM/560100/000002,ELECTRICITY_READING,2026-02-27,False,True,"{""consumption_kwh"": 75287.3}"
ESCOM,ESCOM/560100/000002,ELECTRICITY_READING,2026-03-29,False,True,"{""consumption_kwh"": 83728.7}"
ESCOM,ESCOM/560100/000002,ELECTRICITY_READING,2026-04-28,False,True,"{""consumption_kwh"": 69119.3}"
BBMP,BBMP/560100/0002,LICENCE_RENEWAL,2026-03-06,False,False,"{""fee_paid"": 4419.0}"
ESCOM,ESCOM/560100/000003,ELECTRICITY_READING,2025-05-03,False,True,"{""consumption_kwh"": 5174.7}"
ESCOM,ESCOM/560100/000003,ELECTRICITY_READING,2025-06-02,False,True,"{""consumption_kwh"": 6032.8}"
ESCOM,ESCOM/560100/000003,ELECTRICITY_READING,2025-07-02,False,True,"{""consumption_kwh"": 5943.2}"
ESCOM,ESCOM/560100/000003,ELECTRICITY_READING,2025-08-01,False,True,"{""consumption_kwh"": 5688.3}"
ESCOM,ESCOM/560100/000003,ELECTRICITY_READING,2025-08-31,False,True,"{""consumption_kwh"": 5258.2}"
ESCOM,ESCOM/560100/000003,ELECTRICITY_READING,2025-09-30,False,True,"{""consumption_kwh"": 6201.0}"
ESCOM,ESCOM/560100/000003,ELECTRICITY_READING,2025-10-30,False,True,"{""consumption_kwh"": 6225.8}"
ESCOM,ESCOM/560100/000003,ELECTRICITY_READING,2025-11-29,False,True,"{""consumption_kwh"": 5742.9}"
