consumer_no,consumer_name,service_address,pin_code,connection_type,sanctioned_load_kw,connected_load_kw,tariff_category,pan,gstin,connection_date,connection_status,meter_no,mobile
ESCOM/560100/000002,Mphasis Paper Limited,"3rd Main, Electronic City Phase 1, Bengaluru, 560100",560100,INDUSTRIAL,443.3,382.0,LT-2,CJJHL6875M,,1990-12-08,ACTIVE,M71034962,
ESCOM/560100/000003,United Beverages Corporation,"1st Cross, Hosur Road, Bengaluru, B'lore",560100,INDUSTRIAL,32.7,24.7,LT-6,FGYHU0652O,29FGYHU0652O9ZE,1996-02-15,ACTIVE,M83388429,
ESCOM/560100/000005,United Textiles Co,"769/5, Service Road, Kudlu Gate, Bengaluru, 560100",560100,INDUSTRIAL,382.4,360.9,LT-1,CLLHX8251D,29CLLHX8251D5ZW,1997-07-13,SURRENDERED,M28423631,9264109919
ESCOM/560100/000006,Mahalaxmi Packaging International,"247/2, Main Road, Electronic City Phase 1, Bengaluru, B'lore",560100,INDUSTRIAL,268.7,182.2,LT-5,,,2009-08-20,DISCONNECTED,M88959251,9174316370
ESCOM/560100/000007,Southern Printing Group,"1st Cross, Kudlu Gate, Bengaluru, 560100",560100,INDUSTRIAL,40.1,34.5,LT-2,LGBAA5220U,,2002-01-24,DISCONNECTED,M35900945,9133729406
ESCOM/560100/000008,Janatha Auto Parts Group,"Cross Road, Electronic City Phase 1, Bengaluru, B'lore",560100,INDUSTRIAL,95.8,64.7,LT-5,MSRFU0438H,,2016-08-04,ACTIVE,M35545879,9250519597
ESCOM/560058/000009,Printing Srinivasa Corporation,"171/7, Factory Road, Peenya Industrial Area, Bengaluru, B'lore",560058,INDUSTRIAL,484.5,393.4,LT-4,WXECA9274N,29WXECA9274N9ZV,1990-11-05,SURRENDERED,M55892531,
ESCOM/560100/000010,Southern Valves Works,"83/3, Service Road, Bommanahalli, Bengaluru, B'lore",560100,INDUSTRIAL,64.3,41.1,LT-4,,,2000-07-19,ACTIVE,M34112555,
ESCOM/560100/000011,Furniture Premier Ent,"245/5, 2nd Cross, Electronic City Phase 1, Bengaluru, B'lore",560100,INDUSTRIAL,83.1,67.2,LT-1,LYYHA4990G,29LYYHA4990G3ZM,2006-08-01,ACTIVE,M11323743,
ESCOM/560058/000012,KS Ceramics Pvt Ltd,"Cross Road, Rajajinagar Industrial Estate, Bengaluru, 560058",560058,COMMERCIAL,6.8,4.7,LT-6,HPSCG6852B,,1998-05-04,ACTIVE,M51294919,
ESCOM/560100/000013,Shree Engineering Pvt.Ltd,"855/6, Main Road, Neeladri Nagar, Bengaluru, 560100",560100,INDUSTRIAL,81.5,53.1,LT-5,LBJCZ9036V,,1999-03-26,ACTIVE,M67408949,
ESCOM/560100/000014,Venkateshwara Pipes International,"274/3, Factory Road, Hosur Road, Bengaluru, 560100",560100,INDUSTRIAL,142.9,132.1,LT-4,JBMPG8437H,,2011-06-28,ACTIVE,M12450567,9527849588
ESCOM/560100/000016,Infosys Paints Limited,"681/7, 3rd Main, Electronic City Phase 1, Bengaluru, 560100",560100,INDUSTRIAL,89.0,81.7,LT-2,QHOCA3276K,29QHOCA3276K8ZD,1998-02-24,ACTIVE,M73285785,9952266893
ESCOM/560058/000017,Motors Bengaluru Ltd,"Main Road, Peenya Industrial Area, Bengaluru, 560058",560058,INDUSTRIAL,261.4,184.7,LT-5,LXOPW6426A,29LXOPW6426A2ZR,1999-10-11,ACTIVE,M83804452,9963406382
