factory_licence_no,factory_name,occupier_name,manager_name,product_description,factory_address,pin_code,district,pan,gstin,cin,licence_issue_date,licence_valid_upto,licence_status,num_workers,power_used,installed_capacity_hp,nic_code,last_inspection_date,inspection_result,mobile
KAR/FACT/560100/0016,Paints Infosys Limited,M/s Paints Infosys Limited,V. Reddy,Auto Components products,"3rd Main, Electronic City Phase 1, Bengaluru, 560100",560100,Bengaluru Urban,QHOCA3276K,29QHOCA3276K8ZD,,1998-09-11,2027-09-11,VALID,758,True,119.3,2930,2025-07-20,SATISFACTORY,
KAR/FACT/560058/0017,Motors Bengaluru Ltd,M/s Motors Bengaluru Ltd,S. Kumar,Chemicals products,"251/8, Main Road, Peenya Industrial Area, Bengaluru, B'lore",560058,Bengaluru Urban,LXOPW6426A,29LXOPW6426A2ZR,,1999-12-08,2027-12-08,VALID,717,True,350.5,2011,2025-05-15,SATISFACTORY,9963406382
KAR/FACT/560058/0027,Infosys Auto Parts Pvt. Ltd.,M/s Infosys Auto Parts Pvt. Ltd.,R. Reddy,Engineering products,"831/5, Industrial Road, Peenya, Bengaluru, B'lore",560058,Bengaluru Urban,,,,1993-11-19,2027-11-19,VALID,787,True,283.0,2819,2025-08-09,NOTICE_ISSUED,
KAR/FACT/560058/0030,Premier Garments Group,M/s Premier Garments Group,R. Kumar,Chemicals products,"668/8, Service Road, BEL Road, Bengaluru, 560058",560058,Bengaluru Urban,ZLVCC4431F,29ZLVCC4431F8ZI,,2001-10-26,2027-10-26,VALID,783,True,371.9,2011,2025-12-10,NOTICE_ISSUED,
KAR/FACT/560100/0043,Balaji Ceramics International,M/s Balaji Ceramics International,R. Sharma,Auto Components products,"852/2, Cross Road, Bommanahalli, Bengaluru, 560100",560100,Bengaluru Urban,,,,2020-08-10,2027-08-10,LAPSED,386,True,545.5,2930,2024-05-21,SATISFACTORY,9893276164
KAR/FACT/560100/0047,Shree Auto Parts & Co,M/s Shree Auto Parts & Co,V. Kumar,Engineering products,"Industrial Road, Electronic City Phase 1, Bengaluru, 560100",560100,Bengaluru Urban,ORJAM8009K,29ORJAM8009K7ZQ,,2017-03-23,2027-03-23,VALID,26,True,648.1,2819,2025-05-22,SATISFACTORY,9534900128
KAR/FACT/560100/0048,Bengaluru Metals Factory,M/s Bengaluru Metals Factory,A. Sharma,Engineering products,"406/5, Cross Road, Neeladri Nagar, Bengaluru, B'lore",560100,Bengaluru Urban,IENCD5173U,29IENCD5173U4Z6,,2015-07-12,2027-07-12,VALID,182,True,406.6,2819,2026-03-28,SATISFACTORY,9311818984
KAR/FACT/560058/0055,Packaging Indian International,M/s Packaging Indian International,S. Sharma,Pharmaceuticals products,"406/9, Main Road, BEL Road, Bengaluru, B'lore",560058,Bengaluru Urban,ZJAFD8671J,29ZJAFD8671J8Z8,U2100KA1991PTC591897,1991-08-01,2027-08-01,VALID,635,True,10.2,2100,2026-03-22,NOTICE_ISSUED,9581682167
KAR/FACT/560100/0056,Pharmaceuticals Royal Ltd,M/s Pharmaceuticals Royal Ltd,V. Sharma,Engineering products,"Main Road, Bommanahalli, Bengaluru, 560100",560100,Bengaluru Urban,LCXAT5657J,29LCXAT5657J6ZF,,2009-09-17,2027-09-17,VALID,685,True,450.3,2819,2025-09-24,NOTICE_ISSUED,9301126777
KAR/FACT/560100/0061,Karnataka Engineering Pvt Ltd,M/s Karnataka Engineering Pvt Ltd,V. Kumar,Pharmaceuticals products,"Industrial Road, Hosur Road, Bengaluru, 560100",560100,Bengaluru Urban,RSOHJ8879U,,,1994-04-01,2027-04-01,VALID,129,True,660.6,2100,2024-11-09,SATISFACTORY,9340777602
KAR/FACT/560100/0063,Foods Bangalore Co,M/s Foods Bangalore Co,R. Reddy,Engineering products,"630/9, 1st Cross, Electronic City Phase 1, Bengaluru, 560100",560100,Bengaluru Urban,,,,2007-05-11,2027-05-11,VALID,599,True,109.0,2819,2025-11-14,NOTICE_ISSUED,9735449477
KAR/FACT/560058/0064,Sri Leather Group,M/s Sri Leather Group,S. Sharma,Engineering products,"Factory Road, Peenya 2nd Stage, Bengaluru, B'lore",560058,Bengaluru Urban,MQHPJ4862C,29MQHPJ4862C3ZS,,2006-02-13,2027-02-13,VALID,213,True,232.5,2819,2025-04-10,SATISFACTORY,9598690974
KAR/FACT/560100/0072,Srinivasa Garments International,M/s Srinivasa Garments International,S. Reddy,Chemicals products,"548/1, Factory Road, Kudlu Gate, Bengaluru, B'lore",560100,Bengaluru Urban,KVYCB9349J,29KVYCB9349J1ZJ,,1995-04-26,2027-04-26,VALID,348,True,195.7,2011,2025-02-15,SATISFACTORY,
KAR/FACT/560100/0073,Karnataka Motors Pvt Ltd,M/s Karnataka Motors Pvt Ltd,V. Reddy,Chemicals products,"Ring Road, Electronic City Phase 1, Bengaluru, 560100",560100,Bengaluru Urban,TUOPY1664N,29TUOPY1664N2ZP,,2011-08-02,2027-08-02,VALID,148,True,323.6,2011,2026-02-10,NOTICE_ISSUED,
KAR/FACT/560100/0074,Premier Pipes Factory,M/s Premier Pipes Factory,A. Kumar,Chemicals products,"710/4, 2nd Cross, Electronic City Phase 2, Bengaluru, 560100",560100,Bengaluru Urban,,,,1990-02-22,2027-02-22,LAPSED,168,True,275.8,2011,2024-10-03,SATISFACTORY,9429430802
