real_business_idx,real_status,pin_code,sector,canonical_name,pan,gstin,source,source_record_id
1,ACTIVE,560058,TEXTILE,Star Chemicals Ltd,,,BBMP,BBMP/560058/0001
2,ACTIVE,560100,ELECTRONICS,Mphasis Paper Limited,CJJHL6875M,,BBMP,BBMP/560100/0002
2,ACTIVE,560100,ELECTRONICS,Mphasis Paper Limited,CJJHL6875M,,ESCOM,ESCOM/560100/000002
3,ACTIVE,560100,ENGINEERING,United Beverages Corporation,FGYHU0652O,29FGYHU0652O9ZE,BBMP,BBMP/560100/0003
3,ACTIVE,560100,ENGINEERING,United Beverages Corporation,FGYHU0652O,29FGYHU0652O9ZE,ESCOM,ESCOM/560100/000003
3,ACTIVE,560100,ENGINEERING,United Beverages Corporation,FGYHU0652O,29FGYHU0652O9ZE,LABOUR,KR/BN/00003/000
4,ACTIVE,560100,ELECTRONICS,Srinivasa Auto Parts Traders,GPXAM3914Y,,BBMP,BBMP/560100/0004
5,CLOSED,560100,RUBBER_PLASTICS,United Textiles Co,CLLHX8251D,29CLLHX8251D5ZW,BBMP,BBMP/560100/0005
5,CLOSED,560100,RUBBER_PLASTICS,United Textiles Co,CLLHX8251D,29CLLHX8251D5ZW,ESCOM,ESCOM/560100/000005
5,CLOSED,560100,RUBBER_PLASTICS,United Textiles Co,CLLHX8251D,29CLLHX8251D5ZW,LABOUR,KR/BN/00005/000
6,DORMANT,560100,TEXTILE,Mahalaxmi Packaging International,,,ESCOM,ESCOM/560100/000006
6,DORMANT,560100,TEXTILE,Mahalaxmi Packaging International,,,LABOUR,KR/BN/00006/000
7,DORMANT,560100,ELECTRONICS,Southern Printing Group,LGBAA5220U,,ESCOM,ESCOM/560100/000007
8,ACTIVE,560100,ELECTRONICS,Janatha Auto Parts Group,MSRFU0438H,,BBMP,BBMP/560100/0008
8,ACTIVE,560100,ELECTRONICS,Janatha Auto Parts Group,MSRFU0438H,,ESCOM,ESCOM/560100/000008
9,CLOSED,560058,TEXTILE,Srinivasa Printing Corporation,WXECA9274N,29WXECA9274N9ZV,BBMP,BBMP/560058/0009
